Feature,Value,Model,Subject,Sensor
wrist_acc_perc75,23.833767842789026,Lars(random_state=8944),1,wrist
wrist_acc_perc25,8.494592772534885,Lars(random_state=8944),1,wrist
wrist_jerk_mean,5.317746060778189,Lars(random_state=8944),1,wrist
wrist_jerk_perc25,2.0992670838230785,Lars(random_state=8944),1,wrist
wrist_jerk_mad,1.729702296563043,Lars(random_state=8944),1,wrist
wrist_jerk_std,1.467071019539047,Lars(random_state=8944),1,wrist
wrist_jerk_med,1.2379987143135198,Lars(random_state=8944),1,wrist
wrist_acc_min,1.0613633608805735,Lars(random_state=8944),1,wrist
wrist_jerk_perc75,0.6620152642505897,Lars(random_state=8944),1,wrist
wrist_jerk_rms,0.2417748658902792,Lars(random_state=8944),1,wrist
wrist_jerk_min,0.2129293549501171,Lars(random_state=8944),1,wrist
wrist_acc_max,0.12200452231832659,Lars(random_state=8944),1,wrist
wrist_jerk_max,0.005939880068560324,Lars(random_state=8944),1,wrist
wrist_acc_length,0.0008224280135805354,Lars(random_state=8944),1,wrist
wrist_acc_time,7.396706925573426e-08,Lars(random_state=8944),1,wrist
error,0,KNeighborsRegressor(n_jobs=-1),2,wrist
wrist_acc_time,0.6005835035711612,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_med,0.14116250592327395,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_med,0.12019412570234168,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_perc25,0.03283304110876902,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_mad,0.028607667799434265,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_rms,0.014669257051338144,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_perc75,0.00899377540372678,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_perc25,0.008046151816640887,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_mad,0.007799170499142009,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_min,0.006308852354870071,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_max,0.00602868863005879,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_mean,0.005531543630397837,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_perc75,0.003953478064531872,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_min,0.003432188921381418,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_mean,0.003233047751252707,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_std,0.0030557066176197752,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_length,0.0021692310372149635,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_max,0.0018465702639532016,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_acc_std,0.0010164105853625958,GradientBoostingRegressor(random_state=6656),2,wrist
wrist_jerk_rms,0.000535083267528874,GradientBoostingRegressor(random_state=6656),2,wrist
