Feature,Value,Model,Subject
upperarm_jerk_rms,0.004902533938860823,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_min,0.004686864434704834,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_perc75,0.0040901865583886496,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_mad,0.00393187572995817,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_rms,0.0037759682401718236,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_max,0.003735040370965817,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_std,0.003686958060508878,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_perc75,0.0036082906501767095,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_max,0.003582619603995244,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_rms,0.003447018222363224,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_min,0.0033531839712758055,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_med,0.0033006418804131356,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_min,0.0029318120720959358,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_perc75,0.002842849695251144,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_mad,0.002710914404504591,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_mean,0.00260210104714157,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_max,0.002405732300075518,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_mean,0.002380770255588842,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_std,0.0021789787089733555,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_med,0.0021523860559461956,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_max,0.0021021815319376526,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_rms,0.0019044205403970819,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_jerk_perc25,0.0018884675093690816,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_mad,0.00183302170439953,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_jerk_perc25,0.0016855873264578379,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_mean,0.0016583096222654683,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_rms,0.0016166941908431608,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_perc25,0.0012866431030636545,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
trunk_acc_mad,0.001036434506224088,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_acc_mad,0.0007135254556130812,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
upperarm_jerk_std,0.00045098653621718373,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
weight,0.00020931449502878063,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
pace,0.00013817666983105653,"RandomForestRegressor(n_jobs=-1, random_state=7337)",1
wrist_acc_time,0.18666287852068505,AdaBoostRegressor(random_state=7337),1
trunk_acc_med,0.10201490157404895,AdaBoostRegressor(random_state=7337),1
upperarm_acc_perc25,0.09732705971537456,AdaBoostRegressor(random_state=7337),1
trunk_acc_perc25,0.07051795883129294,AdaBoostRegressor(random_state=7337),1
trunk_jerk_std,0.060450139861322895,AdaBoostRegressor(random_state=7337),1
wrist_acc_mean,0.04434734824839985,AdaBoostRegressor(random_state=7337),1
trunk_jerk_mad,0.040283852339119366,AdaBoostRegressor(random_state=7337),1
wrist_acc_med,0.031073920160337647,AdaBoostRegressor(random_state=7337),1
upperarm_acc_mean,0.03036135252909471,AdaBoostRegressor(random_state=7337),1
trunk_acc_mad,0.028738749620541074,AdaBoostRegressor(random_state=7337),1
upperarm_acc_perc75,0.026544434351098246,AdaBoostRegressor(random_state=7337),1
upperarm_acc_med,0.01904076945947265,AdaBoostRegressor(random_state=7337),1
wrist_jerk_med,0.017773337223177085,AdaBoostRegressor(random_state=7337),1
wrist_jerk_min,0.013910687522242995,AdaBoostRegressor(random_state=7337),1
trunk_acc_min,0.01384224558587279,AdaBoostRegressor(random_state=7337),1
trunk_acc_rms,0.013598364330613713,AdaBoostRegressor(random_state=7337),1
trunk_acc_std,0.013488454953521382,AdaBoostRegressor(random_state=7337),1
trunk_jerk_mean,0.013211758308871672,AdaBoostRegressor(random_state=7337),1
wrist_acc_length,0.012934167012944644,AdaBoostRegressor(random_state=7337),1
wrist_acc_std,0.011508975547396955,AdaBoostRegressor(random_state=7337),1
wrist_jerk_std,0.011158373156757469,AdaBoostRegressor(random_state=7337),1
wrist_jerk_rms,0.010807543782904503,AdaBoostRegressor(random_state=7337),1
wrist_jerk_perc25,0.01060197993703771,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_perc75,0.01056832865979116,AdaBoostRegressor(random_state=7337),1
trunk_acc_perc75,0.010496613924938244,AdaBoostRegressor(random_state=7337),1
upperarm_acc_rms,0.009770363235322663,AdaBoostRegressor(random_state=7337),1
wrist_acc_min,0.009177194484938091,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_perc25,0.008563419040003621,AdaBoostRegressor(random_state=7337),1
wrist_acc_max,0.008402309401746058,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_min,0.007312482985734028,AdaBoostRegressor(random_state=7337),1
trunk_jerk_med,0.0071402780333055275,AdaBoostRegressor(random_state=7337),1
upperarm_acc_std,0.006701691877314066,AdaBoostRegressor(random_state=7337),1
wrist_jerk_max,0.005363201415922542,AdaBoostRegressor(random_state=7337),1
wrist_jerk_mean,0.004757875260239847,AdaBoostRegressor(random_state=7337),1
wrist_acc_perc75,0.004505738226192211,AdaBoostRegressor(random_state=7337),1
wrist_jerk_perc75,0.0036733498955373715,AdaBoostRegressor(random_state=7337),1
wrist_jerk_mad,0.003541054620851237,AdaBoostRegressor(random_state=7337),1
upperarm_acc_min,0.003323172576795335,AdaBoostRegressor(random_state=7337),1
trunk_acc_mean,0.002821871597482518,AdaBoostRegressor(random_state=7337),1
trunk_jerk_min,0.0028029926458789742,AdaBoostRegressor(random_state=7337),1
trunk_jerk_rms,0.0025569478064757472,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_max,0.0023555796359887725,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_med,0.0013423443957833292,AdaBoostRegressor(random_state=7337),1
trunk_acc_max,0.0013140079068544447,AdaBoostRegressor(random_state=7337),1
upperarm_acc_max,0.0012652478256265495,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_rms,0.0007951828522149286,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_std,0.0006349714888626677,AdaBoostRegressor(random_state=7337),1
wrist_acc_perc25,0.0005377744235972424,AdaBoostRegressor(random_state=7337),1
trunk_jerk_max,7.675321047403565e-05,AdaBoostRegressor(random_state=7337),1
weight,0.0,AdaBoostRegressor(random_state=7337),1
trunk_jerk_perc75,0.0,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_mad,0.0,AdaBoostRegressor(random_state=7337),1
trunk_jerk_perc25,0.0,AdaBoostRegressor(random_state=7337),1
upperarm_jerk_mean,0.0,AdaBoostRegressor(random_state=7337),1
wrist_acc_rms,0.0,AdaBoostRegressor(random_state=7337),1
wrist_acc_mad,0.0,AdaBoostRegressor(random_state=7337),1
upperarm_acc_mad,0.0,AdaBoostRegressor(random_state=7337),1
pace,0.0,AdaBoostRegressor(random_state=7337),1
wrist_acc_time,84,LGBMRegressor(random_state=7337),1
trunk_jerk_max,25,LGBMRegressor(random_state=7337),1
upperarm_acc_perc25,19,LGBMRegressor(random_state=7337),1
upperarm_acc_min,18,LGBMRegressor(random_state=7337),1
upperarm_jerk_max,18,LGBMRegressor(random_state=7337),1
upperarm_acc_mean,18,LGBMRegressor(random_state=7337),1
wrist_acc_max,17,LGBMRegressor(random_state=7337),1
wrist_jerk_min,17,LGBMRegressor(random_state=7337),1
wrist_acc_mean,16,LGBMRegressor(random_state=7337),1
trunk_jerk_mad,16,LGBMRegressor(random_state=7337),1
wrist_acc_std,15,LGBMRegressor(random_state=7337),1
trunk_acc_max,14,LGBMRegressor(random_state=7337),1
trunk_acc_perc25,13,LGBMRegressor(random_state=7337),1
trunk_acc_med,12,LGBMRegressor(random_state=7337),1
wrist_acc_min,11,LGBMRegressor(random_state=7337),1
upperarm_jerk_perc25,11,LGBMRegressor(random_state=7337),1
wrist_acc_med,10,LGBMRegressor(random_state=7337),1
trunk_acc_std,9,LGBMRegressor(random_state=7337),1
upperarm_acc_max,9,LGBMRegressor(random_state=7337),1
trunk_acc_mean,8,LGBMRegressor(random_state=7337),1
upperarm_acc_perc75,8,LGBMRegressor(random_state=7337),1
wrist_jerk_max,8,LGBMRegressor(random_state=7337),1
wrist_jerk_mad,8,LGBMRegressor(random_state=7337),1
trunk_acc_perc75,8,LGBMRegressor(random_state=7337),1
upperarm_acc_med,7,LGBMRegressor(random_state=7337),1
wrist_jerk_std,7,LGBMRegressor(random_state=7337),1
upperarm_jerk_mean,6,LGBMRegressor(random_state=7337),1
upperarm_jerk_perc75,6,LGBMRegressor(random_state=7337),1
wrist_acc_perc75,6,LGBMRegressor(random_state=7337),1
trunk_jerk_min,6,LGBMRegressor(random_state=7337),1
upperarm_jerk_rms,6,LGBMRegressor(random_state=7337),1
wrist_jerk_med,6,LGBMRegressor(random_state=7337),1
upperarm_jerk_mad,5,LGBMRegressor(random_state=7337),1
trunk_acc_rms,5,LGBMRegressor(random_state=7337),1
trunk_jerk_std,4,LGBMRegressor(random_state=7337),1
wrist_jerk_perc25,4,LGBMRegressor(random_state=7337),1
trunk_acc_min,4,LGBMRegressor(random_state=7337),1
wrist_jerk_perc75,4,LGBMRegressor(random_state=7337),1
upperarm_jerk_std,3,LGBMRegressor(random_state=7337),1
upperarm_jerk_min,3,LGBMRegressor(random_state=7337),1
trunk_jerk_mean,3,LGBMRegressor(random_state=7337),1
trunk_jerk_med,3,LGBMRegressor(random_state=7337),1
upperarm_acc_mad,3,LGBMRegressor(random_state=7337),1
