Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.0223,3.6753,1.8911,0.4528,0.5693,0.3605,3.378,"(2, 10, 15)"
Decision Tree Regressor,1.1012,3.6213,1.8934,0.4038,0.5777,0.4053,3.36,"(2, 10, 16)"
Decision Tree Regressor,1.27,4.8111,2.1912,0.2928,0.644,0.4469,3.379,"(2, 10, 17)"
Decision Tree Regressor,1.0149,3.4461,1.8188,0.41,0.5721,0.3931,3.343,"(2, 12, 13)"
Decision Tree Regressor,1.1964,4.4597,2.1021,0.3022,0.6312,0.4359,3.391,"(2, 12, 15)"
Decision Tree Regressor,1.1003,3.66,1.9077,0.3774,0.5981,0.4382,3.391,"(2, 12, 16)"
Decision Tree Regressor,1.3053,4.8933,2.1812,0.2506,0.6534,0.5101,3.393,"(2, 12, 17)"
Decision Tree Regressor,0.9051,2.957,1.6993,0.4935,0.5446,0.3527,3.364,"(2, 13, 15)"
Decision Tree Regressor,1.0012,3.0518,1.7381,0.4563,0.5657,0.4227,3.361,"(2, 13, 16)"
Decision Tree Regressor,0.9832,3.3729,1.8204,0.4419,0.5615,0.3867,3.356,"(2, 13, 17)"
Decision Tree Regressor,0.9416,2.9383,1.6961,0.4919,0.5536,0.3647,3.366,"(2, 15, 16)"
Decision Tree Regressor,1.0568,3.5885,1.8752,0.4248,0.6012,0.4184,3.372,"(2, 15, 17)"
Decision Tree Regressor,1.0212,3.5471,1.872,0.411,0.5843,0.3735,3.373,"(2, 16, 17)"
Decision Tree Regressor,1.0695,3.4663,1.8381,0.3781,0.575,0.3765,3.356,"(3, 4, 5)"
Decision Tree Regressor,0.8772,2.7212,1.6397,0.4791,0.5384,0.3313,3.403,"(3, 4, 6)"
Decision Tree Regressor,1.0451,3.6598,1.8841,0.3511,0.572,0.3816,3.365,"(3, 4, 8)"
Decision Tree Regressor,1.0288,3.3955,1.8308,0.3759,0.5766,0.3647,3.368,"(3, 4, 9)"
Decision Tree Regressor,1.0897,3.7847,1.9308,0.3652,0.6072,0.4037,3.374,"(3, 4, 10)"
