Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.0655,3.714,1.9189,0.4072,0.6001,0.3834,4.208,"(2, 15, 17)"
Decision Tree Regressor,1.0682,3.6895,1.9001,0.3993,0.5906,0.407,4.481,"(2, 16, 17)"
Decision Tree Regressor,1.0833,3.8763,1.9522,0.3142,0.6007,0.3426,4.149,"(3, 4, 5)"
Decision Tree Regressor,0.9024,2.6976,1.6379,0.4611,0.528,0.3478,4.205,"(3, 4, 6)"
Decision Tree Regressor,0.9424,3.2152,1.779,0.4278,0.5629,0.3489,4.225,"(3, 4, 8)"
Decision Tree Regressor,0.975,3.2186,1.7863,0.3967,0.5448,0.3851,4.251,"(3, 4, 9)"
Decision Tree Regressor,1.089,3.8424,1.949,0.3592,0.6104,0.4036,4.224,"(3, 4, 10)"
Decision Tree Regressor,1.1811,4.5254,2.1062,0.2358,0.6338,0.4259,4.23,"(3, 4, 12)"
Decision Tree Regressor,1.0571,3.6818,1.9097,0.3248,0.6024,0.4048,4.24,"(3, 4, 13)"
Decision Tree Regressor,0.9699,3.1686,1.7704,0.4366,0.559,0.3409,4.218,"(3, 4, 15)"
Decision Tree Regressor,1.1555,4.0428,2.0021,0.2218,0.6389,0.4381,4.212,"(3, 4, 16)"
Decision Tree Regressor,0.9641,3.2506,1.7772,0.4638,0.5635,0.3506,4.228,"(3, 4, 17)"
Decision Tree Regressor,1.0922,3.4977,1.8638,0.3219,0.5884,0.3912,4.371,"(3, 5, 6)"
Decision Tree Regressor,1.0208,3.2957,1.8088,0.4114,0.5653,0.3733,4.241,"(3, 5, 8)"
Decision Tree Regressor,1.0091,3.2013,1.7819,0.3695,0.5684,0.351,4.225,"(3, 5, 9)"
Decision Tree Regressor,1.0996,3.8492,1.9587,0.323,0.6089,0.3944,4.227,"(3, 5, 10)"
Decision Tree Regressor,1.1358,3.8969,1.9616,0.3255,0.6145,0.4079,4.213,"(3, 5, 12)"
Decision Tree Regressor,0.9756,3.2341,1.7899,0.3673,0.5687,0.3543,4.229,"(3, 5, 13)"
Decision Tree Regressor,1.0231,3.3109,1.807,0.3906,0.5811,0.331,4.224,"(3, 5, 15)"
Decision Tree Regressor,0.9814,2.8156,1.6708,0.4656,0.5385,0.3716,4.228,"(3, 5, 16)"
Decision Tree Regressor,1.1369,3.9319,1.97,0.2856,0.6152,0.4009,4.211,"(3, 5, 17)"
Decision Tree Regressor,0.9978,3.1547,1.7615,0.3763,0.5655,0.3988,4.239,"(3, 6, 8)"
Decision Tree Regressor,0.9187,2.6426,1.6222,0.4288,0.5471,0.3527,4.277,"(3, 6, 9)"
Decision Tree Regressor,0.8909,2.7103,1.6392,0.469,0.5319,0.3385,4.255,"(3, 6, 10)"
Decision Tree Regressor,0.8334,2.4443,1.5526,0.505,0.5166,0.3302,4.268,"(3, 6, 12)"
Decision Tree Regressor,0.823,2.4283,1.5539,0.4768,0.5197,0.3451,4.234,"(3, 6, 13)"
Decision Tree Regressor,0.8244,2.5543,1.5852,0.4703,0.5185,0.3137,4.238,"(3, 6, 15)"
Decision Tree Regressor,0.8409,2.3761,1.5281,0.5059,0.5107,0.3396,4.252,"(3, 6, 16)"
Decision Tree Regressor,0.8515,2.5257,1.5847,0.4822,0.5331,0.3304,4.24,"(3, 6, 17)"
Decision Tree Regressor,0.9545,2.959,1.7045,0.439,0.5587,0.3793,4.248,"(3, 8, 9)"
Decision Tree Regressor,1.0575,3.8861,1.9466,0.3532,0.5947,0.3515,4.228,"(3, 8, 10)"
Decision Tree Regressor,0.9883,3.2181,1.7683,0.4374,0.5546,0.3728,4.243,"(3, 8, 12)"
Decision Tree Regressor,0.9515,2.9889,1.7169,0.4271,0.5529,0.368,4.617,"(3, 8, 13)"
Decision Tree Regressor,1.0487,3.422,1.8421,0.3755,0.5896,0.3817,4.226,"(3, 8, 15)"
Decision Tree Regressor,0.8312,2.4785,1.563,0.5406,0.5139,0.3278,4.24,"(3, 8, 16)"
Decision Tree Regressor,0.9665,3.189,1.7815,0.4601,0.5635,0.3608,4.225,"(3, 8, 17)"
Decision Tree Regressor,1.1232,4.1921,2.0406,0.2262,0.6306,0.3924,4.207,"(3, 9, 10)"
Decision Tree Regressor,0.8585,2.6774,1.6281,0.4932,0.4949,0.3208,4.234,"(3, 9, 12)"
Decision Tree Regressor,0.9427,3.0614,1.733,0.3498,0.5439,0.3759,4.239,"(3, 9, 13)"
