Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.2961,4.5324,2.121,0.2398,0.6464,0.4343,3.376,"(1, 5, 15)"
Decision Tree Regressor,1.1277,3.7716,1.9308,0.369,0.5947,0.3791,3.329,"(1, 5, 16)"
Decision Tree Regressor,1.1953,4.153,2.0172,0.3485,0.6221,0.4283,3.342,"(1, 5, 17)"
Decision Tree Regressor,0.8107,2.4544,1.5612,0.5775,0.5098,0.2871,3.284,"(1, 6, 8)"
Decision Tree Regressor,0.9892,3.0471,1.7357,0.4492,0.5292,0.3661,3.233,"(1, 6, 9)"
Decision Tree Regressor,1.0045,3.4914,1.8607,0.4519,0.5439,0.3566,3.274,"(1, 6, 10)"
Decision Tree Regressor,1.0508,3.6003,1.8838,0.3941,0.5627,0.3771,3.273,"(1, 6, 12)"
Decision Tree Regressor,0.8202,2.4818,1.5502,0.5575,0.4989,0.3117,3.318,"(1, 6, 13)"
Decision Tree Regressor,0.9073,2.7534,1.6482,0.5107,0.5188,0.3173,3.24,"(1, 6, 15)"
Decision Tree Regressor,0.7975,2.3189,1.5163,0.5908,0.4939,0.2978,3.236,"(1, 6, 16)"
Decision Tree Regressor,0.9352,3.0978,1.7493,0.4863,0.5592,0.3283,3.255,"(1, 6, 17)"
Decision Tree Regressor,1.0783,3.6369,1.8967,0.4055,0.556,0.3628,3.264,"(1, 8, 9)"
Decision Tree Regressor,1.1331,3.9658,1.9695,0.39,0.5977,0.3702,3.278,"(1, 8, 10)"
Decision Tree Regressor,0.9168,2.8863,1.6894,0.559,0.5262,0.3284,3.256,"(1, 8, 12)"
Decision Tree Regressor,0.9437,3.0203,1.7257,0.4995,0.5405,0.3324,3.269,"(1, 8, 13)"
Decision Tree Regressor,1.1304,3.7156,1.9201,0.43,0.5985,0.3829,3.503,"(1, 8, 15)"
Decision Tree Regressor,1.1185,3.7909,1.9306,0.3954,0.5796,0.3939,3.278,"(1, 8, 16)"
Decision Tree Regressor,0.9548,3.0718,1.7417,0.5289,0.5588,0.3331,3.24,"(1, 8, 17)"
Decision Tree Regressor,1.251,4.7186,2.1572,0.273,0.6553,0.3909,3.259,"(1, 9, 10)"
Decision Tree Regressor,1.0572,4.0338,1.9938,0.3432,0.581,0.3666,3.238,"(1, 9, 12)"
Decision Tree Regressor,0.975,3.1877,1.7798,0.4377,0.5603,0.3566,3.272,"(1, 9, 13)"
Decision Tree Regressor,0.9587,3.0658,1.7339,0.4901,0.5426,0.3429,3.273,"(1, 9, 15)"
